question, reponse, reponse2, reponse3, reponse4, bonneReponse
"Quels sont les 3 domaines d'application du MASE ?", "Sante, securite incendie et economie", "Sante, securite du travail et environnement", "Surete, securite incendie et environnement", "Sante, travail et environnement", "Sante, securite du travail et environnement"
"Comment limiter les problemes de sante lies au travail sur ecran ?", "Adapter l'ergonomie du poste", "Jeter les ordinateurs", "Travailler debout", "Travailler dans le noir", "Adapter l'ergonomie du poste"
"Sur 600 accidents, combien sont mortels ?", "1", "30", "300", "600", "1"
"A quoi sert un plan de prevention en securite au travail ?", "Identifier et prevenir les risques de co-activites lies au site", "Prevoir les risques d'inondation sur la commune", "Prevoir les risques en securite informatique", "Prevoir les risques de secheresse sur la commune", "Identifier et prevenir les risques de co-activites lies au site"
"Que signifie le sigle EPI dans la securite au travail ?", "Equipement de protection informatique", "Equipement de protection incendie", "Equipement de protection individuelle", "Extremement Pratique et Important", "Equipement de protection individuelle"
"Grace a quel type d'elements pouvons-nous reduire les risques sur les chantiers ?", "Des nacelles sans rambardes", "Des gants isolants", "Avec un controle systematique des DTA", "En ne verifiant jamais les vehicules", "Avec un controle systematique des DTA"
"Que dois-je faire face a un interlocuteur virulent ?", "Garder son calme", "Avoir une ecoute attentive", "Ne pas provoquer", "Repondre de maniere agressive", "Garder son calme"
"Quels sont, dans le bon ordre chronologique, les 3 principes des premiers secours ?", "Proteger, Alerter, Secourir", "Alerter, Proteger, Secourir", "Secourir, Proteger, Alerter", "Proteger, Secourir, Alerter", "Proteger, Alerter, Secourir"
"Pour faire des economies et etre plus ecologique, je peux :", "Imprimer en recto-verso", "Utiliser une police d'ecriture speciale", "Toujours privilegier les impressions en couleur", "Ne jamais imprimer", "Imprimer en recto-verso"
"Quels gestes sont preconises par l'ecoconduite ?", "Rouler en dessous des limitations de vitesse", "Charger le vehicule au maximum", "Eviter de conduire ses collegues sur un chantier", "Rouler en dessous des limitations de vitesse et eviter de conduire ses collegues sur un chantier", "Rouler en dessous des limitations de vitesse et eviter de conduire ses collegues sur un chantier"
"Dans le cadre de notre demarche, vous serez invites a :", "Transmettre des idees d'amelioration", "Participer ou assister a des sensibilisations SSE", "Remonter des informations concernant des dangers rencontres", "Toutes les reponses precedentes", "Toutes les reponses precedentes"
