question, reponse, reponse2, reponse3, reponse4, bonneReponse
"Quels sont les 3 domaines d'application du MASE ?", "Santé, sécurité incendie et économie", "Santé, sécurité du travail et environnement", "Sûreté, sécurité incendie et environnement", "Santé, travail et environnement", "Santé, sécurité du travail et environnement"
"Comment limiter les problèmes de santé liés au travail sur écran ?", "Adapter l'ergonomie du poste", "Jeter les ordinateurs", "Travailler debout", "Travailler dans le noir", "Adapter l'ergonomie du poste"
"Sur 600 accidents, combien sont mortels ?", "1", "30", "300", "600", "1"
"À quoi sert un plan de prévention en sécurité au travail ?", "Identifier et prévenir les risques de co-activités liés au site", "Prévoir les risques d'inondation sur la commune", "Prévoir les risques en sécurité informatique", "Prévoir les risques de sécheresse sur la commune", "Identifier et prévenir les risques de co-activités liés au site"
"Que signifie le sigle EPI dans la sécurité au travail ?", "Équipement de protection informatique", "Équipement de protection incendie", "Équipement de protection individuelle", "Extrêmement Pratique et Important", "Équipement de protection individuelle"
"Grâce à quel type d'éléments pouvons-nous réduire les risques sur les chantiers ?", "Des nacelles sans rambardes", "Des gants isolants", "Avec un contrôle systématique des DTA", "En ne vérifiant jamais les véhicules", "Avec un contrôle systématique des DTA"
"Que dois-je faire face à un interlocuteur virulent ?", "Garder son calme", "Avoir une écoute attentive", "Ne pas provoquer", "Répondre de manière agressive", "Garder son calme"
"Quels sont, dans le bon ordre chronologique, les 3 principes des premiers secours ?", "Protéger, Alerter, Secourir", "Alerter, Protéger, Secourir", "Secourir, Protéger, Alerter", "Protéger, Secourir, Alerter", "Protéger, Alerter, Secourir"
"Pour faire des économies et être plus écologique, je peux :", "Imprimer en recto-verso", "Utiliser une police d'écriture spéciale", "Toujours privilégier les impressions en couleur", "Ne jamais imprimer", "Imprimer en recto-verso"
"Quels gestes sont préconisés par l'écoconduite ?", "Rouler en dessous des limitations de vitesse", "Charger le véhicule au maximum", "Éviter de conduire ses collègues sur un chantier", "Rouler en dessous des limitations de vitesse et éviter de conduire ses collègues sur un chantier", "Rouler en dessous des limitations de vitesse et éviter de conduire ses collègues sur un chantier"
"Dans le cadre de notre démarche, vous serez invités à :", "Transmettre des idées d'amélioration", "Participer ou assister à des sensibilisations SSE", "Remonter des informations concernant des dangers rencontrés", "Toutes les réponses précédentes", "Toutes les réponses précédentes"
